Feature,Coefficient,Odds_Ratio,Abs_Coefficient
high_prior_utilization,0.5160229922453491,1.6753514970474253,0.5160229922453491
number_diagnoses,0.3055222839196911,1.3573337314929805,0.3055222839196911
num_procedures,-0.18346678950446946,0.8323795190151647,0.18346678950446946
polypharmacy,0.15725784650075206,1.1702973320726688,0.15725784650075206
time_in_hospital,0.11657629737956615,1.1236432382314048,0.11657629737956615
age_midpoint,-0.11037845618859389,0.8954951654707316,0.11037845618859389
num_lab_procedures,-0.10868313699542265,0.897014603214212,0.10868313699542265
num_medications,-0.10849766341012493,0.8971809911585419,0.10849766341012493
insulin_level,0.09577652248099147,1.1005130965744494,0.09577652248099147
diabetes_complications,0.07579323358324425,1.0787395039945156,0.07579323358324425
cardiovascular,0.05713975857639305,1.0588037769640088,0.05713975857639305
renal,0.05004451593223022,1.0513178957305567,0.05004451593223022
respiratory,0.024987345387516707,1.0253021456410016,0.024987345387516707
long_los,0.012483979400897292,1.0125622295571455,0.012483979400897292
a1c_abnormal,0.0,1.0,0.0
