finding,value,notes
readmission_rate,9.5%,30-day overall
national_benchmark,15.5%,CMS comparison
high_risk_share,38.8%,"top 20% account for % of readmissions"
roc_auc,0.71,model discrimination
top_risk_factor,high_prior_utilization,OR 1.68
recommended_roi,123.7%,"50% high-risk, 15% effectiveness"
net_benefit_millions,9.4,$9.4M after program cost
