feature,coefficient,odds_ratio
age_midpoint,-0.11041313814944502,0.8954641084810222
time_in_hospital,0.11490561799236348,1.1217675579012327
num_lab_procedures,-0.10850167631838867,0.8971773908607522
num_procedures,-0.18316730152664934,0.8326288440071486
num_medications,-0.10951991568452737,0.896264314467023
number_diagnoses,0.3055882639149891,1.3574232913207482
diabetes_complications,0.07582010789391065,1.0787684947646259
cardiovascular,0.0570713432332491,1.0587313410181791
respiratory,0.025119950733769634,1.0254381152019842
renal,0.05003343286686676,1.0513062439701693
high_prior_utilization,0.5160324371469782,1.675367320652235
long_los,0.014089486640434912,1.0141892112631528
polypharmacy,0.15801072390225512,1.1711787542468095
a1c_abnormal,0.0,1.0
insulin_level,0.09588072461781558,1.1006277783656555
